Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),260,"Aceitunas, olivas",2015,2015,1000 Int. $,357263,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),260,"Aceitunas, olivas",2016,2016,1000 Int. $,264126,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),260,"Aceitunas, olivas",2017,2017,1000 Int. $,426776,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),260,"Aceitunas, olivas",2018,2018,1000 Int. $,324338,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),260,"Aceitunas, olivas",2019,2019,1000 Int. $,347675,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),260,"Aceitunas, olivas",2015,2015,1000 SLC,1299569,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),260,"Aceitunas, olivas",2016,2016,1000 SLC,1098045,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),260,"Aceitunas, olivas",2017,2017,1000 SLC,1724052,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),260,"Aceitunas, olivas",2018,2018,1000 SLC,1380329,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),260,"Aceitunas, olivas",2015,2015,1000 SLC,1481512,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),260,"Aceitunas, olivas",2016,2016,1000 SLC,1095290,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),260,"Aceitunas, olivas",2017,2017,1000 SLC,1769773,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),260,"Aceitunas, olivas",2018,2018,1000 SLC,1344979,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),260,"Aceitunas, olivas",2019,2019,1000 SLC,1441754,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),260,"Aceitunas, olivas",2015,2015,1000 US$,140750,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),260,"Aceitunas, olivas",2016,2016,1000 US$,74402,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),260,"Aceitunas, olivas",2017,2017,1000 US$,104092,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),260,"Aceitunas, olivas",2018,2018,1000 US$,49131,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),260,"Aceitunas, olivas",2015,2015,1000 US$,148973,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),260,"Aceitunas, olivas",2016,2016,1000 US$,110137,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),260,"Aceitunas, olivas",2017,2017,1000 US$,177959,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),260,"Aceitunas, olivas",2018,2018,1000 US$,135244,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),260,"Aceitunas, olivas",2019,2019,1000 US$,144975,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),572,Aguacates,2015,2015,1000 Int. $,3681,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),572,Aguacates,2016,2016,1000 Int. $,3717,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),572,Aguacates,2017,2017,1000 Int. $,3738,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),572,Aguacates,2018,2018,1000 Int. $,3759,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),572,Aguacates,2019,2019,1000 Int. $,3779,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),572,Aguacates,2015,2015,1000 SLC,2770,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),572,Aguacates,2016,2016,1000 SLC,3196,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),572,Aguacates,2017,2017,1000 SLC,3123,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,56,Producción Bruta (miles ML),572,Aguacates,2018,2018,1000 SLC,3309,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2015,2015,1000 SLC,3158,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2016,2016,1000 SLC,3188,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2017,2017,1000 SLC,3206,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2018,2018,1000 SLC,3224,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2019,2019,1000 SLC,3241,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),572,Aguacates,2015,2015,1000 US$,300,Fc,Datos calculados
